backend   |  
backend   |       INFO   Will watch for changes in these directories: ['/app']
backend   |       INFO   Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend   |       INFO   Started reloader process [100] using WatchFiles
backend   | 2025-07-14 02:37:48.240 | DEBUG    | backend.src.core.profiler:__init__:64 - Profiler inicializado. Directorio de salida: 'performance'.
backend   | 2025-07-14 02:37:48.640 | INFO     | backend.src.orchestrator.settings.system_prompts:get_faq_file_path:32 - ✅ Archivo FAQ encontrado en: /app/backend/src/orchestrator/docs/faq_examples.json
backend   | 2025-07-14 02:37:48.640 | SUCCESS  | backend.src.orchestrator.settings.system_prompts:load_faq_dict:63 - ✅ FAQ JSON cargado exitosamente desde: /app/backend/src/orchestrator/docs/faq_examples.json
backend   | 2025-07-14 02:37:48.640 | INFO     | backend.src.orchestrator.settings.system_prompts:get_faq_file_path:32 - ✅ Archivo FAQ encontrado en: /app/backend/src/orchestrator/docs/faq_examples.json
backend   | 2025-07-14 02:37:48.640 | SUCCESS  | backend.src.orchestrator.settings.system_prompts:load_faq_examples_markdown:98 - ✅ FAQ Markdown cargado exitosamente desde: /app/backend/src/orchestrator/docs/faq_examples.json
backend   | 2025-07-14 02:37:48.646 | SUCCESS  | backend.config.settings:log_successful_load:72 - ✅ Todas las configuraciones han sido cargadas y validadas con éxito.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.logging_config:setup_logging:76 - ✅ Logger de Loguru configurado.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:28 - Inicializando configuración de logging.
backend   | 2025-07-14 02:37:48 | DEBUG    | backend.src.app:<module>:30 - ENTORNO AZURE FUNCTIONS: No definido
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.app:<module>:46 - Instancia de FastAPI creada: title='Ajover Chatbot API', version='1.0.0'.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:53 - Configurando logging de endpoints.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.logging_config:setup_logging:76 - ✅ Logger de Loguru configurado.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.logging_config:endpoints_logging:109 - 🔧 App logger configurado con PropagateHandler.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.app:<module>:55 - Configuración de logging de endpoints completada.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:60 - Configurando documentación.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.core.openapi:documentation_config:63 - Función custom_openapi instalada en app.openapi con base relativa '%s'.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.app:<module>:62 - Configuración de documentación completada.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:67 - Configurando políticas de seguridad.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.policies:add_security_middleware:88 - 🏭 Applying security middleware...
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.core.policies:add_security_middleware:95 - ✅ Políticas de seguridad aplicadas.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.app:<module>:69 - Configuración de políticas de seguridad completada.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:74 - Registrando middleware CORS.
backend   | 2025-07-14 02:37:48 | SUCCESS  | backend.src.app:<module>:82 - Middleware CORS registrado.
backend   | 2025-07-14 02:37:48 | INFO     | backend.src.app:<module>:87 - Incluyendo routers.
